"matchType","matchId","date","tournamentId","tournamentName","tournamentCategory","surface","inOrOutdoor","tournamentCountry","roundName","draw","result","resultStatusDesc","winnerId","winnerEntry","winnerSeed","winnerName","winnerCountry","loserId","loserEntry","loserSeed","loserName","loserCountry"
"WTA","9000000000","1984-04-23","9000000000","Taranto Open - Taranto","World Tour","Clay","O","Italy","1st Round","M","7-5 6-4","","800176408","DA","1","Ivanna Madruga-Osses","ARG","800177873","DA","","Svetlana Cherneva","URS"
"WTA","9000000001","1984-04-23","9000000000","Taranto Open - Taranto","World Tour","Clay","O","Italy","1st Round","M","5-7 6-3 6-4","","800177778","DA","","Vicki Nelson-Dunbar","USA","800176683","DA","","Emilse Rapponi-Longo","ARG"
"WTA","9000000002","1984-04-23","9000000000","Taranto Open - Taranto","World Tour","Clay","O","Italy","Quarter-finals","M","6-0 6-3","","800176408","DA","1","Ivanna Madruga-Osses","ARG","800177778","DA","","Vicki Nelson-Dunbar","USA"
"WTA","9000000003","1984-04-23","9000000000","Taranto Open - Taranto","World Tour","Clay","O","Italy","Semi-finals","M","2-6 6-4 6-3","","800177668","DA","","Sandra Cecchini","ITA","800176408","DA","1","Ivanna Madruga-Osses","ARG"
"Fed/BJK Cup","00000000-0000-0000-0000-000000000002","1979-05-06","W-FC-1979-WG-CR-ARG-HUN-01","World Group","Fed/BJK Cup","Clay","O","Spain","Last 16","Consolation Round","8-6 7-5","","4b600a89-4a95-4f10-9330-383a0dd4144b","","","Emilse Rapponi-Longo","ARG","ffa11317-1a0b-4f60-a991-de22a813841b","","","Anna Nemeth","HUN"
"Fed/BJK Cup","00000000-0000-0000-0000-000000000003","1979-05-06","W-FC-1979-WG-CR-ARG-HUN-01","World Group","Fed/BJK Cup","Clay","O","Spain","Last 16","Consolation Round","6-3 6-1","","bfb4443c-42c7-4f8b-a1ae-762adbd7a6e4","","","Ivanna Madruga-Osses","ARG","ffa11317-1a0b-4f60-a991-de22a813841c","","","Judit Szorenyi","HUN"
"Fed/BJK Cup","00000000-0000-0000-0000-000000000004","1979-05-06","W-FC-1979-WG-CR-ARG-HUN-01","World Group","Fed/BJK Cup","Clay","O","Spain","Last 16","Consolation Round","6-4 6-4","","bfb4443c-42c7-4f8b-a1ae-762adbd7a6e4","","","Ivanna Madruga-Osses / Adriana Villagran-Reami","ARG","ffa11317-1a0b-4f60-a991-de22a813841c","","","Judit Szorenyi / Eva Rozsavolgyi","HUN"
"Fed/BJK Cup","00000000-0000-0000-0000-000000000000","1979-05-06","W-FC-1979-WG-CR-ARG-ESP-01","World Group","Fed/BJK Cup","Clay","O","Spain","Final","Consolation Round","6-0 5-7 6-4","","4b600a89-4a95-4f10-9330-383a0dd4144b","","","Emilse Rapponi-Longo","ARG","ffa11317-1a0b-4f60-a991-de22a813841b","","","Carmen Perea-Alcala","ESP"
"Fed/BJK Cup","00000000-0000-0000-0000-000000000001","1979-05-06","W-FC-1979-WG-CR-ARG-ESP-01","World Group","Fed/BJK Cup","Clay","O","Spain","Final","Consolation Round","6-1 6-3","","ca1ea628-aca6-4a7d-8a93-84228bca3495","","","Adriana Villagran-Reami","ARG","ffa11317-1a0b-4f60-a991-de22a813841a","","","Monica Alvarez de Mon","ESP"
