N;Player;Date;Event;Round;Tie;Match;Opponent;Result;Score
1;Norma Baylon;1964-09-02;World Group;Last 16;Belgium;Singles;Christiane Mercelis;W;8-6 6-2
2;Ana María Bocio;1964-09-02;World Group;Last 16;Belgium;Singles;Monique Bedoret;W;6-1 6-3
3;Nora Somoza;1965-01-15;World Group;Last 16;New Zealand;Singles;Elizabeth Terry;L;7-5 6-4
4;Graciela Morán;1966-05-12;World Group;Last 16;Germany F.R.;Singles;Helga Masthoff;L;6-0 6-3
5;Raquel Giscafré;1966-05-12;World Group;Last 16;Germany F.R.;Doubles - Graciela Morán;Edda Buding / Helga Hosl;L;6-4 6-1
6;Inés Roget;1970-12-26;World Group;Last 16;New Zealand;Singles;Robyn Hunt;L;6-4 11-9
7;Beatriz Araujo;1972-03-20;World Group;Last 32;Finland;Singles;Leena Mutanen;L;9-7 8-10 6-4
8;Elvira Weisenberger;1973-05-01;World Group;Last 32;Sweden;Doubles - Inés Roget;Christina Sandberg / Ingrid Bentzer;L;7-5 6-3
9;Viviana González Locicero;1976-08-29;World Group;Last 32;New Zealand;Singles;Pauline Elliott;W;7-5 6-0
10;Ivanna Madruga;1978-12-03;World Group;Last 32;Denmark;Singles;Dorte Ekner;W;11-9 2-6 6-4
11;Claudia Casabianca;1978-12-03;World Group;Last 16;France;Doubles - Raquel Giscafré;Frederique Thibault / Brigitte Simon-Glinel;L;6-4 3-6 6-2
12;Emilse Raponi de Longo;1979-05-06;World Group;Last 16;Hungary;Singles;Anna Nemeth;W;8-6 7-5
13;Adriana Villagrán;1979-05-06;World Group;Last 16;Hungary;Doubles - Ivanna Madruga;Eva Rozsavolgyi / Judith Szorenyi;W;6-4 6-4
14;Liliana Giussani;1980-05-25;World Group;Last 32;Netherlands;Doubles - Adriana Villagrán;Elly Appel / Marcella Mesker;L;6-1 7-5
15;Gabriela Sabatini;1984-07-22;World Group;Last 16;Venezuela;Singles;Claudia Borgiani;W;6-1 6-1
16;Mercedez Paz;1985-10-14;World Group;Last 16;New Zealand;Singles;Julie Richardson;W;6-3 6-4
17;Bettina Fulco;1987-08-02;World Group;Last 32;Switzerland;Singles;Emanuela Zardo;W;6-4 6-2
18;Cristina Tessi;1988-12-11;World Group;Last 32;Greece;Doubles - Mercedes Paz;Olga Tsarbopoulou / Christina Papadaki;W;6-1 6-2
19;Patricia Tarabini;1989-10-09;World Group;Last 32;Philippines;Singles;Dyan Castillejo;W;6-1 6-1
20;Florencia Labat;1989-10-09;World Group;Last 16;Bulgaria;Doubles - Mercedes Paz;Manuela Maleeva-Fragniere / Katerina Maleeva;L;6-1 3-6 6-1
21;Inés Gorrochategui;1990-07-29;World Group;Last 16;Poland;Doubles - Bettina Fulco;Magdalena Feistel / Renata Skrzypczynska;W;6-3 6-2
22;Paola Suárez;1996-04-28;World Group I;Quarter Finals;France;Singles;Nathalie Tauziat;W;7-6(5) 6-1
23;Mariana Díaz Oliva;1997-03-02;World Group II;Quarter Finals;Korea, Rep.;Singles;Sung-Hee Park;L;6-3 6-1
24;Laura Montalvo;1997-03-02;World Group II;Quarter Finals;Korea, Rep.;Doubles - Mercedes Paz;Sung-Hee Park / Eun-Ha Kim;W;6-7(3) 6-4 7-6(2)
25;María José Gaidano;1997-07-13;World Group I;Quarter Finals;Switzerland;Singles;Patty Schnyder;L;6-1 6-0
26;Celeste Contín;1998-07-26;World Group II;Quarter Finals;Australia;Singles;Nicole Pratt;L;6-2 6-4
27;Erica Krauth;1998-07-26;World Group II;Quarter Finals;Australia;Doubles - Laura Montalvo;Kerry-Anne Guse / Rachel McQuillan;L;6-4 6-3
28;María Emilia Salerni;2000-04-26;Group I Americas;Round Robin;Paraguay;Singles;Sarah Tami-Masi;W;6-0 6-3
29;Gisela Dulko;2000-04-28;Group I Americas;Round Robin;Cuba;Doubles - Laura Montalvo;Yanet Nunez-Mojarena / Yamile Fors-Guerra;W;6-1 6-1
30;Clarisa Fernández;2001-04-29;Qualifiers;Last 16;Japan;Singles;Shinobu Asagoe;W;6-3 4-6 10-8
31;Natalia Garbellotto;2003-04-26;World Group;Last 16;Slovenia;Singles;Katarina Srebotnik;L;6-1 6-2
32;Natalia Gussoni;2003-04-26;World Group;Last 16;Slovenia;Singles;Maja Matevzic;W;6-4 6-2
33;María José Argeri;2006-04-23;World Group II;Quarter Finals;Croatia;Doubles - Mariana Díaz Oliva;Matea Mezak / Karolina Sprem;L;6-3 6-3
34;Jorgelina Cravero;2007-04-18;Group I Americas;Round Robin;Dominican Republic;Singles;Leyla Esther Cabrera;W;6-0 6-0
35;Betina Jozami;2008-02-03;World Group II;Quarter Finals;Austria;Doubles - María Irigoyen;Barbara Schwartz / Yvonne Meusburger-Garamszegi;W;6-1 4-6 6-3
36;María Irigoyen;2008-02-03;World Group II;Quarter Finals;Austria;Doubles - Betina Jozami;Barbara Schwartz / Yvonne Meusburger-Garamszegi;W;6-1 4-6 6-3
37;Aranza Salut;2009-04-26;World Group;Quarter Finals;Ukraine;Singles;Olga Savchuk;L;6-2 6-1
38;Paula Ormaechea;2009-04-26;World Group;Quarter Finals;Ukraine;Doubles - María Irigoyen;Olga Savchuk / Mariya Koryttseva;L;6-2 6-0
39;Mailén Auroux;2010-02-07;World Group II;Quarter Finals;Estonia;Doubles - María Irigoyen;Anett Schutting / Margit Ruutel;W;7-5 6-4
40;Florencia Molinero;2011-02-02;Group I Americas;Round Robin;Bolivia;Singles;Maria Ines Deheza;W;6-4 6-3
41;Victoria Bosio;2014-04-20;World Group;Quarter Finals;Russia;Doubles - Nadia Podoroska;Elena Vesnina / Valeria Solovyeva;L;6-2 6-1
42;Nadia Podoroska;2014-04-20;World Group;Quarter Finals;Russia;Doubles - Victoria Bosio;Elena Vesnina / Valeria Solovyeva;L;6-2 6-1
43;Tatiana Búa;2015-02-08;World Group II;Quarter Finals;USA;Doubles - Nadia Podoroska;Taylor Townsend / CoCo Vandeweghe;L;6-2 6-3
44;Catalina Pella;2016-02-03;Group I Americas;Round Robin;Ecuador;Doubles - María Irigoyen;Rafaella Baquerizo / Marie Elise Casares;W;6-0 6-0
45;María Lourdes Carlé;2016-04-17;World Group II;Quarter Finals;Ukraine;Doubles - Guadalupe Pérez Rojas;Olga Savchuk / Kateryna Volodko;L;6-1 6-3
46;Guadalupe Pérez Rojas;2016-04-17;World Group II;Quarter Finals;Ukraine;Doubles - María Lourdes Carlé;Olga Savchuk / Kateryna Volodko;L;6-1 6-3
47;Stephanie Petit;2018-02-07;Group I Americas;Round Robin;Guatemala;Doubles - María Irigoyen;Daniela Schippers / Melissa Morales;W;6-4 6-1
48;Carla Lucero;2019-02-07;Group I Americas;Round Robin;Chile;Doubles - Jazmín Ortenzi;Alexa Guarachi / Barbara Gatica;L;6-1 6-1
49;Jazmín Ortenzi;2019-02-07;Group I Americas;Round Robin;Chile;Doubles - Carla Lucero;Alexa Guarachi / Barbara Gatica;L;6-1 6-1
50;Guillermina Naya;2020-02-06;Group I Americas;Round Robin;Chile;Doubles - Victoria Bosio;Barbara Gatica / Alexa Guarachi;L;6-2 6-4
51;Solana Sierra;2022-04-13;Group I Americas;Round Robin;Colombia;Singles;Yuliana Lizarazo;W;6-2 6-3
52;Julia Riera;2022-04-13;Group I Americas;Round Robin;Colombia;Doubles - María Lourdes Carlé;Maria Paulina Perez-Garcia / Yuliana Lizarazo;W;6-4 6-3
53;Martina Capurro;2023-04-11;Group I Americas;Round Robin;Guatemala;Singles;Kirsten-Andrea Weedon;W;6-2 6-3
54;Berta Bonardi;2023-04-11;Group I Americas;Round Robin;Guatemala;Doubles - Guiillermina Naya;Melissa Morales / Deborah Dominguez Collado;W;7-5 6-3
55;Julieta Estable;2024-04-10;Group I Americas;Round Robin;Ecuador;Doubles - María Lourdes Carlé;Camila Romero / Tania Isabel Andrade Sabando;W;6-1 6-2
56;Luisina Giovannini;2024-04-11;Group I Americas;Round Robin;Venezuela;Doubles - Julieta Estable;Fabiana Gamboa / Sabrina Balderrama;W;3-6 6-1 10-4
